state,municipality,district,subdistrict,id
ES,Serra,Serra,Região de Serra Sede,32050020512
ES,Serra,Calogi,Região de Serra Sede,32050021012
ES,Serra,Carapina,Região de Jacaraípe e Manguinhos,32050021507
ES,Serra,Carapina,Região de Carapina,32050021508
ES,Serra,Carapina,Região de Anchieta,32050021509
ES,Serra,Carapina,Região de Laranjeiras,32050021510
ES,Serra,Carapina,Região do Civit,32050021511
ES,Serra,Nova Almeida,Região de Nova Almeida,32050022006
ES,Serra,Nova Almeida,Região de Jacaraípe e Manguinhos,32050022007
ES,Serra,Queimado,,32050022500
ES,Sooretama,Sooretama,,32050100500
ES,Vargem Alta,Vargem Alta,,32050360500
ES,Vargem Alta,Alto Castelinho,,32050361000
ES,Vargem Alta,Jaciguá,,32050361500
ES,Vargem Alta,Prosperidade,,32050362000
ES,Vargem Alta,São José de Fruteiras,,32050362500
ES,Venda Nova do Imigrante,Venda Nova do Imigrante,,32050690500
ES,Venda Nova do Imigrante,Alto Caxixe,,32050691000
ES,Venda Nova do Imigrante,São João de Viçosa,,32050692000
ES,Viana,Viana,,32051010500
ES,Viana,Araçatiba,,32051011000
ES,Vila Pavão,Vila Pavão,,32051500500
ES,Vila Valério,Vila Valério,,32051760500
ES,Vila Valério,Jurama,,32051761500
ES,Vila Valério,São Jorge da Barra Seca,,32051763000
ES,Vila Velha,Vila Velha,Centro,32052000506
ES,Vila Velha,Vila Velha,Grande Aribiri,32052000507
ES,Vila Velha,Vila Velha,Grande Ibes,32052000509
ES,Vila Velha,Argolas,Grande Aribiri,32052001007
ES,Vila Velha,Argolas,Grande Cobilândia,32052001008
ES,Vila Velha,Ibes,Grande Aribiri,32052001507
ES,Vila Velha,Ibes,Grande Cobilândia,32052001508
ES,Vila Velha,Ibes,Grande Ibes,32052001509
ES,Vila Velha,Jucu,Grande Jucu,32052002010
ES,Vila Velha,São Torquato,Grande Aribiri,32052002507
ES,Vila Velha,São Torquato,Grande Cobilândia,32052002508
ES,Vitória,Vitória,Região Administrativa I - Centro,32053090506
ES,Vitória,Vitória,Região Administrativa II - Santo Antônio,32053090507
