UF,Município,Nome Município,Distrito,Nome Distrito,Subdistrito,Nome Subdistrito,Arquivo
BA,2906501,Candeias,15,Caroba,00,,29065011500
BA,2906501,Candeias,20,Madeira,00,,29065012000
BA,2906501,Candeias,25,Menino Jesus,00,,29065012500
BA,2906501,Candeias,30,Passagem dos Teixeiras,00,,29065013000
BA,2906501,Candeias,35,Passé,00,,29065013500
BA,2906600,Candiba,05,Candiba,00,,29066000500
BA,2906600,Candiba,15,Pilões,00,,29066001500
BA,2906709,Cândido Sales,05,Cândido Sales,00,,29067090500
BA,2906709,Cândido Sales,15,Lagoa Grande,00,,29067091500
BA,2906709,Cândido Sales,20,Quaraçu,00,,29067092000
BA,2906808,Cansanção,05,Cansanção,00,,29068080500
BA,2906824,Canudos,05,Canudos,00,,29068240500
BA,2906824,Canudos,10,Bedengó,00,,29068241000
BA,2906857,Capela do Alto Alegre,05,Capela do Alto Alegre,00,,29068570500
BA,2906873,Capim Grosso,05,Capim Grosso,00,,29068730500
BA,2906899,Caraíbas,05,Caraíbas,00,,29068990500
BA,2906899,Caraíbas,40,Vila Mariana,00,,29068994000
BA,2906907,Caravelas,05,Caravelas,00,,29069070500
BA,2906907,Caravelas,10,Juerana,00,,29069071000
BA,2906907,Caravelas,15,Ponta da Areia,00,,29069071500
BA,2906907,Caravelas,20,Santo Antônio de Barcelona,00,,29069072000
BA,2907004,Cardeal da Silva,05,Cardeal da Silva,00,,29070040500
BA,2907103,Carinhanha,05,Carinhanha,00,,29071030500
BA,2907103,Carinhanha,10,Barra da Parateca,00,,29071031000
BA,2907202,Casa Nova,05,Casa Nova,00,,29072020500
BA,2907202,Casa Nova,10,Bem-Bom,00,,29072021000
BA,2907202,Casa Nova,15,Luís Viana,00,,29072021500
BA,2907202,Casa Nova,20,Pau a Pique,00,,29072022000
BA,2907202,Casa Nova,25,Sobrado,00,,29072022500
BA,2907301,Castro Alves,05,Castro Alves,00,,29073010500
BA,2907301,Castro Alves,15,Crussai,00,,29073011500
BA,2907301,Castro Alves,25,Petim,00,,29073012500
BA,2907301,Castro Alves,30,Sítio do Meio,00,,29073013000
BA,2907400,Catolândia,05,Catolândia,00,,29074000500
BA,2907509,Catu,05,Catu,00,,29075090500
BA,2907509,Catu,10,Bela Flor,00,,29075091000
BA,2907509,Catu,15,Sítio Novo,00,,29075091500
BA,2907558,Caturama,05,Caturama,00,,29075580500
BA,2907608,Central,05,Central,00,,29076080500
BA,2907707,Chorrochó,05,Chorrochó,00,,29077070500
BA,2907806,Cícero Dantas,05,Cícero Dantas,00,,29078060500
BA,2907806,Cícero Dantas,15,São João da Fortaleza,00,,29078061500
BA,2907905,Cipó,05,Cipó,00,,29079050500
BA,2908002,Coaraci,05,Coaraci,00,,29080020500
BA,2908002,Coaraci,10,Itamotinga,00,,29080021000
BA,2908002,Coaraci,20,São Roque,00,,29080022000
BA,2908101,Cocos,05,Cocos,00,,29081010500
BA,2908200,Conceição da Feira,05,Conceição da Feira,00,,29082000500
BA,2908309,Conceição do Almeida,05,Conceição do Almeida,00,,29083090500
BA,2908309,Conceição do Almeida,10,Comércio,00,,29083091000
BA,2908309,Conceição do Almeida,15,Rio da Dona,00,,29083091500
BA,2908408,Conceição do Coité,05,Conceição do Coité,00,,29084080500
BA,2908408,Conceição do Coité,06,Bandiaçu,00,,29084080600
BA,2908408,Conceição do Coité,08,Joazeiro,00,,29084080800
BA,2908408,Conceição do Coité,09,São João,00,,29084080900
BA,2908408,Conceição do Coité,10,Salgadália,00,,29084081000
BA,2908408,Conceição do Coité,15,Aroeira,00,,29084081500
BA,2908507,Conceição do Jacuípe,05,Conceição do Jacuípe,00,,29085070500
BA,2908606,Conde,05,Conde,00,,29086060500
BA,2908705,Condeúba,05,Condeúba,00,,29087050500
BA,2908705,Condeúba,08,Alegre,00,,29087050800
BA,2908804,Contendas do Sincorá,05,Contendas do Sincorá,00,,29088040500
BA,2908804,Contendas do Sincorá,10,Caraibuna,00,,29088041000
BA,2908903,Coração de Maria,05,Coração de Maria,00,,29089030500
BA,2908903,Coração de Maria,10,Itacava,00,,29089031000
BA,2908903,Coração de Maria,30,Retiro,00,,29089033000
BA,2909000,Cordeiros,05,Cordeiros,00,,29090000500
BA,2909109,Coribe,05,Coribe,00,,29091090500
BA,2909109,Coribe,10,Descoberto,00,,29091091000
BA,2909208,Coronel João Sá,05,Coronel João Sá,00,,29092080500
BA,2909307,Correntina,05,Correntina,00,,29093070500
BA,2909307,Correntina,10,São Manoel do Norte,00,,29093071000
BA,2909406,Cotegipe,05,Cotegipe,00,,29094060500
BA,2909406,Cotegipe,10,Jupaguá,00,,29094061000
BA,2909406,Cotegipe,15,Taguá,00,,29094061500
BA,2909505,Cravolândia,05,Cravolândia,00,,29095050500
BA,2909604,Crisópolis,05,Crisópolis,00,,29096040500
BA,2909604,Crisópolis,10,Buril,00,,29096041000
BA,2909703,Cristópolis,05,Cristópolis,00,,29097030500
BA,2909802,Cruz das Almas,05,Cruz das Almas,00,,29098020500
BA,2909901,Curaçá,05,Curaçá,00,,29099010500
BA,2909901,Curaçá,10,Barro Vermelho,00,,29099011000
BA,2909901,Curaçá,15,Patamuté,00,,29099011500
BA,2909901,Curaçá,20,Poço de Fora,00,,29099012000
BA,2909901,Curaçá,25,Riacho Seco,00,,29099012500
BA,2910008,Dário Meira,05,Dário Meira,00,,29100080500
BA,2910057,Dias d'Ávila,05,Dias d'Ávila,00,,29100570500
BA,2910107,Dom Basílio,05,Dom Basílio,00,,29101070500
BA,2910206,Dom Macedo Costa,05,Dom Macedo Costa,00,,29102060500
BA,2910305,Elísio Medrado,05,Elísio Medrado,00,,29103050500
BA,2910305,Elísio Medrado,10,Monte Cruzeiro,00,,29103051000
BA,2910404,Encruzilhada,05,Encruzilhada,00,,29104040500
BA,2910503,Entre Rios,05,Entre Rios,00,,29105030500
BA,2910503,Entre Rios,10,Ibatuí,00,,29105031000
BA,2910503,Entre Rios,15,Subaúma,00,,29105031500
BA,2910602,Esplanada,05,Esplanada,00,,29106020500
BA,2910602,Esplanada,10,Palame,00,,29106021000
BA,2910602,Esplanada,20,São José do Mucambo,00,,29106022000
BA,2910701,Euclides da Cunha,05,Euclides da Cunha,00,,29107010500
BA,2910701,Euclides da Cunha,07,Aribice,00,,29107010700
BA,2910701,Euclides da Cunha,09,Caimbe,00,,29107010900
BA,2910701,Euclides da Cunha,15,Massacará,00,,29107011500
BA,2910727,Eunápolis,05,Eunápolis,00,,29107270500
BA,2910750,Fátima,05,Fátima,00,,29107500500
BA,2910776,Feira da Mata,05,Feira da Mata,00,,29107760500
BA,2910776,Feira da Mata,20,Ramalho,00,,29107762000
